Verbal	Math	GPA
6.230000000e+002	5.090000000e+002	2.600000000e+000
4.540000000e+002	4.710000000e+002	2.300000000e+000
6.430000000e+002	7.000000000e+002	2.400000000e+000
5.850000000e+002	7.190000000e+002	3.000000000e+000
7.190000000e+002	7.100000000e+002	3.100000000e+000
6.930000000e+002	6.430000000e+002	2.900000000e+000
5.710000000e+002	6.650000000e+002	3.100000000e+000
6.460000000e+002	7.190000000e+002	3.300000000e+000
6.130000000e+002	6.930000000e+002	2.300000000e+000
6.550000000e+002	7.010000000e+002	3.300000000e+000
6.620000000e+002	6.140000000e+002	2.600000000e+000
5.850000000e+002	5.570000000e+002	3.300000000e+000
5.800000000e+002	6.110000000e+002	2.000000000e+000
6.480000000e+002	7.010000000e+002	3.000000000e+000
4.050000000e+002	6.110000000e+002	1.900000000e+000
5.060000000e+002	6.810000000e+002	2.700000000e+000
6.690000000e+002	6.530000000e+002	2.000000000e+000
5.580000000e+002	5.000000000e+002	3.300000000e+000
5.770000000e+002	6.350000000e+002	2.000000000e+000
4.870000000e+002	5.840000000e+002	2.300000000e+000
6.820000000e+002	6.290000000e+002	3.300000000e+000
5.650000000e+002	6.240000000e+002	2.800000000e+000
5.520000000e+002	6.650000000e+002	1.700000000e+000
5.670000000e+002	7.240000000e+002	2.400000000e+000
7.450000000e+002	7.460000000e+002	3.400000000e+000
6.100000000e+002	6.530000000e+002	2.800000000e+000
4.930000000e+002	6.050000000e+002	2.400000000e+000
5.710000000e+002	5.660000000e+002	1.900000000e+000
6.820000000e+002	7.240000000e+002	2.500000000e+000
6.000000000e+002	6.770000000e+002	2.300000000e+000
7.400000000e+002	7.290000000e+002	3.400000000e+000
5.930000000e+002	6.110000000e+002	2.800000000e+000
4.880000000e+002	6.830000000e+002	1.900000000e+000
5.260000000e+002	7.770000000e+002	3.000000000e+000
6.300000000e+002	6.050000000e+002	3.700000000e+000
5.860000000e+002	6.530000000e+002	2.300000000e+000
6.100000000e+002	6.740000000e+002	2.900000000e+000
6.950000000e+002	6.340000000e+002	3.300000000e+000
5.390000000e+002	6.010000000e+002	2.100000000e+000
4.900000000e+002	7.010000000e+002	1.200000000e+000
5.090000000e+002	5.470000000e+002	3.300000000e+000
6.670000000e+002	7.530000000e+002	2.000000000e+000
5.970000000e+002	6.520000000e+002	3.100000000e+000
6.620000000e+002	6.640000000e+002	2.600000000e+000
5.660000000e+002	6.640000000e+002	2.400000000e+000
5.970000000e+002	6.020000000e+002	2.400000000e+000
6.040000000e+002	5.570000000e+002	2.300000000e+000
5.190000000e+002	5.290000000e+002	3.000000000e+000
6.430000000e+002	7.150000000e+002	2.900000000e+000
6.060000000e+002	5.930000000e+002	3.400000000e+000
5.000000000e+002	6.610000000e+002	2.300000000e+000
4.600000000e+002	6.920000000e+002	1.400000000e+000
7.170000000e+002	6.720000000e+002	2.800000000e+000
5.920000000e+002	4.410000000e+002	2.400000000e+000
7.520000000e+002	7.290000000e+002	3.400000000e+000
6.950000000e+002	6.810000000e+002	2.500000000e+000
6.100000000e+002	7.770000000e+002	3.600000000e+000
6.200000000e+002	6.380000000e+002	2.600000000e+000
6.820000000e+002	7.010000000e+002	3.600000000e+000
5.240000000e+002	7.000000000e+002	2.900000000e+000
5.520000000e+002	6.920000000e+002	2.600000000e+000
7.030000000e+002	7.100000000e+002	3.800000000e+000
5.840000000e+002	7.380000000e+002	3.000000000e+000
5.500000000e+002	6.380000000e+002	2.500000000e+000
6.590000000e+002	6.720000000e+002	3.500000000e+000
5.850000000e+002	6.050000000e+002	2.000000000e+000
5.780000000e+002	6.140000000e+002	3.000000000e+000
5.330000000e+002	6.300000000e+002	2.000000000e+000
5.320000000e+002	5.860000000e+002	1.800000000e+000
7.080000000e+002	7.010000000e+002	2.300000000e+000
5.370000000e+002	6.810000000e+002	2.100000000e+000
6.350000000e+002	6.470000000e+002	3.000000000e+000
5.910000000e+002	6.140000000e+002	3.300000000e+000
5.520000000e+002	6.690000000e+002	3.000000000e+000
5.570000000e+002	6.740000000e+002	3.200000000e+000
5.990000000e+002	6.640000000e+002	2.300000000e+000
5.400000000e+002	6.580000000e+002	3.300000000e+000
7.520000000e+002	7.370000000e+002	3.300000000e+000
7.260000000e+002	8.000000000e+002	3.900000000e+000
6.300000000e+002	6.680000000e+002	2.100000000e+000
5.580000000e+002	5.670000000e+002	2.600000000e+000
6.460000000e+002	7.710000000e+002	2.400000000e+000
6.430000000e+002	7.190000000e+002	3.300000000e+000
6.060000000e+002	7.550000000e+002	3.100000000e+000
6.820000000e+002	6.520000000e+002	3.600000000e+000
5.650000000e+002	6.720000000e+002	2.900000000e+000
5.780000000e+002	6.290000000e+002	2.400000000e+000
4.880000000e+002	6.110000000e+002	1.800000000e+000
3.610000000e+002	6.020000000e+002	2.400000000e+000
5.600000000e+002	6.390000000e+002	2.900000000e+000
6.300000000e+002	6.470000000e+002	3.500000000e+000
6.660000000e+002	7.050000000e+002	3.400000000e+000
7.190000000e+002	6.680000000e+002	2.300000000e+000
6.690000000e+002	7.010000000e+002	2.900000000e+000
5.710000000e+002	6.470000000e+002	1.800000000e+000
5.200000000e+002	5.830000000e+002	2.800000000e+000
5.710000000e+002	5.930000000e+002	2.300000000e+000
5.390000000e+002	6.010000000e+002	2.500000000e+000
5.800000000e+002	6.300000000e+002	2.400000000e+000
6.290000000e+002	6.950000000e+002	2.900000000e+000
